Logical-Mathematical Raw Score,Logical-Mathematical Percent,Logical-Mathematical Rank,Musical Raw Score,Musical Percent,Musical Rank,Naturalist Raw Score,Naturalist Percent,Naturalist Rank,Verbal Linguistic Raw Score,Verbal Linguistic Percent,Verbal Linguistic Rank,Interpersonal Raw Score,Interpersonal Percent,Interpersonal Rank,Bodily-Kinesthetic Raw Score,Bodily-Kinesthetic Percent,Bodily-Kinesthetic Rank,Spatial-Visual Raw Score,Spatial-Visual Percent,Spatial-Visual Rank,Intrapersonal Raw Score,Intrapersonal Percent,Intrapersonal Rank,REALISTIC Score,INVESTIGATIVE Score,ARTISTIC Score,SOCIAL Score,ENTERPRISING Score,CONVENTIONAL Score,Analytical Domain Score,Interactive Domain Score,Introspective Domain Score,Career_Singing,Career_Composing,Career_Playing Instrument,Career_Dancing,Career_General Physician,Career_Surgeon,Career_Veterinary Doctor,Career_Nurse,Career_IT,Career_Non-IT,Career_Architect,Career_Graphics,Career_Fashion Designer,"Career_Sculpture, Jwewellery, Interior Decorator","Career_Furniture, Shoe etc",Career_Operation,Career_Finance,Career_Marketing,Career_Hotel Management,Career_Teacher/ Corporate Counselor,Career_Trainer,Career_Player - Team Game,Career_Player - Individual game,Career_Coach,Career_Sports Management,Career_Journalist,Career_News Anchor/ Tv Radio Anouncer,Career_Anchor,Career_Stage/ Film Actor,Career_COMP/IT/DS/AI,Career_Mech/Civil/Mechatronic/Chemical
29,14.5,1,21,10.5,7,25,12.5,4,25,12.5,4,27,13.5,2,21,10.5,7,25,12.5,4,27,13.5,2,5.75,6.38,6.42,6.5,6.42,7.0,37.5,36.5,26.0,48.91,55.66,46.45,60.23,66.34,58.84,65.09,63.59,72.59,75.86,59.92,52.68,54.65,64.78,53.84,63.44,64.73,57.82,56.25,56.97,63.56,58.58,59.91,60.81,61.56,60.31,57.33,53.84,57.47,61.7,61.09
22,10.33,8,28,13.15,2,33,15.49,1,25,11.74,6,25,11.74,6,28,13.15,2,26,12.21,4,26,12.21,4,7.63,6.38,7.08,7.25,6.25,6.0,38.97,36.62,24.41,74.97,71.08,70.74,69.09,71.96,68.01,72.28,66.94,72.59,75.86,64.52,61.22,64.59,64.15,65.71,68.45,56.29,66.4,68.08,68.49,65.96,70.1,71.09,70.13,71.28,68.82,67.77,70.99,73.68,56.07,62.59
24,12.63,5,26,13.68,2,21,11.05,6,21,11.05,6,27,14.21,1,20,10.53,8,25,13.16,4,26,13.68,2,5.13,5.94,6.0,6.0,5.92,6.25,37.37,35.79,26.84,56.23,62.05,59.2,62.1,57.05,57.47,56.74,59.86,54.02,55.05,57.01,60.15,59.87,62.68,61.43,58.99,51.96,54.52,58.9,57.26,59.02,58.67,59.66,58.19,55.23,58.32,58.13,57.26,58.14,70.8,73.41
30,11.28,6,34,12.78,4,29,10.9,8,34,12.78,4,39,14.66,1,35,13.16,2,30,11.28,6,35,13.16,2,8.0,8.13,7.83,8.5,8.67,8.13,34.96,40.6,24.44,91.27,87.85,83.92,86.0,78.13,75.42,76.25,82.85,74.38,79.25,77.54,75.42,77.84,70.94,76.25,87.29,73.44,89.69,76.72,88.69,87.24,85.54,83.85,87.41,87.53,83.49,88.84,91.19,86.62,70.8,73.41
35,12.11,7,36,12.46,4,36,12.46,4,36,12.46,4,38,13.15,1,38,13.15,1,38,13.15,1,32,11.07,8,9.25,8.94,8.83,9.25,9.25,8.38,37.02,38.75,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
27,11.79,5,25,10.92,6,20,8.73,8,29,12.66,4,35,15.28,1,35,15.28,1,33,14.41,3,25,10.92,6,6.88,7.5,6.5,6.88,8.08,6.5,31.44,43.23,25.33,71.42,67.08,66.68,72.42,72.05,68.3,68.93,74.02,73.39,77.05,74.78,75.98,73.22,69.87,70.8,73.7,70.71,75.66,68.88,71.94,70.97,78.19,77.49,76.47,78.09,69.79,71.53,71.31,74.05,70.8,73.41
22,10.23,8,23,10.7,7,32,14.88,2,27,12.56,3,26,12.09,4,33,15.35,1,26,12.09,4,26,12.09,4,8.13,6.69,7.0,7.25,6.75,6.0,35.81,40.0,24.19,68.05,67.06,65.17,71.81,62.14,64.02,64.33,62.64,58.84,64.77,65.4,66.79,66.43,69.33,68.39,65.49,57.01,68.16,70.48,68.95,64.37,74.84,76.58,72.04,67.9,67.24,68.99,66.45,75.82,70.8,73.41
32,12.85,2,30,12.05,6,30,12.05,6,34,13.65,1,31,12.45,3,31,12.45,3,30,12.05,6,31,12.45,3,7.63,7.75,7.58,7.63,7.83,7.88,36.775,38.55,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
32,12.55,4,31,12.16,5,33,12.94,3,27,10.59,8,30,11.76,7,34,13.33,2,37,14.51,1,31,12.16,5,8.38,8.38,8.42,7.88,8.0,7.88,36.775,35.69,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
37,13.21,2,33,11.79,6,33,11.79,6,34,12.14,5,37,13.21,2,35,12.5,4,33,11.79,6,38,13.57,1,8.5,8.94,8.67,8.75,9.08,9.38,36.79,37.86,25.18,90.36,86.94,92.07,84.84,90.8,90.6,89.24,88.99,87.77,87.18,88.69,85.15,90.15,88.3,92.05,92.01,90.4,91.45,89.64,91.13,91.16,88.36,88.19,91.58,91.24,86.98,89.72,90.51,87.37,70.8,73.41
30,12.99,2,22,9.52,8,28,12.12,6,28,12.12,6,35,15.15,1,30,12.99,2,29,12.55,4,29,12.55,4,7.25,7.38,7.17,7.88,7.92,7.38,34.63,40.26,25.11,55.64,59.13,54.8,72.04,73.57,68.78,72.95,73.78,71.61,74.45,71.81,66.73,67.91,71.7,65.45,75.77,72.72,76.25,72.88,68.13,73.1,75.77,75.25,76.43,77.64,70.64,67.86,62.5,68.34,70.8,73.41
28,10.81,7,38,14.67,1,30,11.58,6,28,10.81,7,32,12.36,4,32,12.36,4,35,13.51,3,36,13.9,2,7.75,8.19,8.42,7.75,7.67,8.0,37.07,35.52,25.18,87.86,89.33,92.3,83.0,81.7,85.03,82.32,81.85,78.48,76.95,78.06,86.73,86.78,82.01,87.95,78.27,73.66,74.51,81.38,80.67,76.57,78.59,79.48,77.41,74.47,75.93,80.88,81.29,79.29,70.8,73.41
30,12.66,5,35,14.77,1,20,8.44,8,33,13.92,2,29,12.24,6,27,11.39,7,31,13.08,4,32,13.5,3,5.88,7.5,6.92,6.13,7.17,7.75,35.86,37.55,26.58,89.45,84.47,80.45,76.55,72.5,67.92,69.38,72.82,72.59,75.86,68.46,66.67,68.03,66.25,66.25,72.82,70.0,73.09,62.76,78.65,77.91,69.29,69.92,71.66,73.73,72.32,78.07,83.65,73.29,71.25,72.13
35,11.86,8,37,12.54,2,37,12.54,2,37,12.54,2,40,13.56,1,37,12.54,2,36,12.2,6,36,12.2,6,9.25,9.0,9.08,9.63,9.33,8.88,36.95,38.64,25.18,95.77,91.91,93.21,91.78,96.79,94.29,95.85,95.13,93.3,95.04,91.37,89.82,92.24,90.85,89.91,95.84,92.14,97.19,95.27,95.43,92.36,93.48,93.15,95.44,97.67,89.69,94.2,92.3,92.3,70.8,73.41
27,11.69,5,23,9.96,7,23,9.96,7,27,11.69,5,33,14.29,2,33,14.29,2,34,14.72,1,31,13.42,4,7.0,7.81,7.33,7.0,7.75,7.25,31.6,40.26,28.14,56.33,61.52,57.27,76.52,71.88,68.54,70.31,73.64,72.59,75.86,75.58,75.42,73.48,80.0,73.75,74.75,71.25,73.12,72.11,68.25,72.68,80.37,81.5,78.68,75.44,70.64,68.25,62.0,72.79,72.5,75.75
33,14.93,1,21,9.5,8,25,11.31,6,25,11.31,6,28,12.67,4,33,14.93,1,30,13.57,3,26,11.76,5,7.25,7.63,6.75,6.63,7.83,7.38,35.75,38.91,25.34,60.03,58.92,56.14,72.0,70.0,65.21,67.81,68.09,72.59,75.86,76.13,72.08,67.8,71.56,67.5,70.87,77.19,70.08,63.01,66.17,69.32,78.7,79.18,76.99,74.04,65.37,66.27,64.92,72.35,75.63,77.88
28,13.15,3,33,15.49,1,23,10.8,7,28,13.15,3,22,10.33,8,24,11.27,5,24,11.27,5,31,14.55,2,5.88,6.69,6.5,5.63,6.17,7.38,39.44,34.74,25.18,82.28,79.34,72.1,72.22,62.68,57.89,61.74,64.11,64.02,66.05,61.46,54.94,56.42,62.37,53.93,63.79,65.4,63.51,58.82,69.95,63.33,62.88,64.84,63.74,66.16,62.14,69.61,71.2,68.16,70.8,73.41
28,12.02,5,40,17.17,1,28,12.02,5,30,12.88,2,29,12.45,4,26,11.16,7,22,9.44,8,30,12.88,2,6.75,6.63,6.67,7.13,6.92,7.25,41.2,36.48,22.32,87.47,86.36,81.05,77.78,74.46,68.63,72.9,73.04,66.7,69.71,66.84,56.85,60.67,66.03,58.84,74.55,70.36,70.89,70.5,75.92,70.57,65.72,66.07,69.99,74.94,69.23,76.23,76.54,72.69,70.8,73.41
15,6.15,8,29,11.89,6,35,14.34,3,29,11.89,6,37,15.16,1,32,13.11,4,31,12.7,5,36,14.75,2,8.38,7.13,8.5,9.0,7.0,6.38,32.38,40.16,27.46,82.83,82.63,83.13,79.67,69.29,74.91,72.1,71.83,58.93,64.66,68.89,77.95,77.68,72.1,80.54,74.21,53.71,75.75,82.23,78.38,74.32,79.81,78.85,77.07,72.21,77.84,79.96,82.13,83.51,70.8,73.41
33,13.92,3,25,10.55,7,24,10.13,8,26,10.97,6,35,14.77,2,28,11.81,5,30,12.66,4,36,15.19,1,6.5,7.94,7.5,7.38,8.0,8.63,34.6,37.55,27.85,68.45,71.19,66.7,69.69,79.91,74.08,77.72,79.99,81.43,78.91,76.02,67.74,72.03,78.66,70.54,80.7,85.27,74.82,71.69,74.71,78.35,73.91,74.89,77.68,77.55,72.62,74.04,73.46,72.22,70.8,73.41
30,12.61,3,31,13.03,2,29,12.18,4,28,11.76,7,34,14.29,1,28,11.76,7,29,12.18,4,29,12.18,4,7.13,7.25,7.25,7.88,7.67,7.38,36.775,37.82,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
26,12.04,5,20,9.26,8,26,12.04,5,24,11.11,7,32,14.81,1,30,13.89,2,29,13.43,3,29,13.43,3,7.0,7.13,7.0,7.25,7.33,6.88,33.33,39.81,26.85,49.73,52.77,58.66,67.0,71.79,72.62,70.85,70.44,65.8,69.79,72.29,75.65,75.35,72.1,77.41,71.16,63.39,70.01,73.43,62.95,68.52,75.14,75.53,74.1,72.47,68.62,62.11,57.32,65.97,70.8,73.41
31,12.55,4,27,10.93,8,29,11.74,6,29,11.74,6,33,13.36,2,31,12.55,4,35,14.17,1,32,12.96,3,7.5,8.06,8.0,7.75,7.92,7.88,35.22,37.65,25.18,66.92,68.26,69.72,74.46,86.07,82.32,83.57,82.28,80.98,80.95,78.29,80.27,81.15,77.95,79.82,80.37,78.04,76.89,75.88,74.04,79.89,78.35,78.84,79.64,80.17,76.36,73.23,71.54,73.69,70.8,73.41
34,13.23,2,29,11.28,8,31,12.06,5,31,12.06,5,30,11.67,7,32,12.45,4,36,14.01,1,34,13.23,2,7.88,8.5,8.42,7.63,8.0,8.5,36.775,36.19,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
32,12.8,4,33,13.2,2,32,12.8,4,35,14.0,1,33,13.2,2,32,12.8,4,28,11.2,7,25,10.0,8,8.0,7.31,7.08,8.13,8.08,7.13,36.775,40.0,25.18,75.21000000000001,72.38499999999999,74.99000000000001,76.745,73.93,72.17,72.92500000000001,74.21,72.59,75.86,74.725,72.245,74.19,72.925,73.57,76.105,72.23,75.22,73.005,75.2,73.705,78.31,78.75,77.485,77.695,71.75999999999999,74.44,72.32,74.51,70.8,73.41
28,14.81,2,15,7.94,8,20,10.58,6,25,13.23,4,27,14.29,3,29,15.34,1,20,10.58,6,25,13.23,4,6.13,6.38,5.42,5.88,7.0,6.63,33.33,42.86,23.81,45.13,45.01,41.93,57.23,63.66,56.16,60.85,61.49,63.93,67.91,62.6,48.57,53.17,61.16,51.79,66.09,69.02,66.06,56.75,59.54,64.99,64.27,66.67,68.41,70.51,59.76,57.23,52.04,58.47,70.8,73.41
30,12.71,3,27,11.44,7,25,10.59,8,29,12.29,5,36,15.25,1,31,13.14,2,30,12.71,3,28,11.86,6,7.0,7.44,6.92,7.63,8.08,7.25,36.775,40.68,25.18,73.99,70.87,66.02,77.59,67.23,63.27,64.73,70.67,68.04,72.61,73.18,68.01,67.85,67.54,67.86,77.25,70.49,79.35,68.06,75.61,74.1,81.66,79.71,81.43,79.05,71.74,76.47,75.61,81.14,70.8,73.41
27,14.06,2,33,17.19,1,18,9.38,8,25,13.02,3,23,11.98,5,25,13.02,3,20,10.42,7,21,10.94,6,5.38,5.81,4.92,5.13,6.25,6.0,40.63,38.02,21.35,70.63,69.47,68.72,64.61,54.46,54.67,53.84,57.37,62.32,61.46,57.29,52.26,54.04,57.59,52.59,56.1,64.42,56.84,56.15,61.75,55.58,54.43,56.58,55.5,58.09,56.36,60.95,59.87,57.88,70.8,73.41
